seller,nome,reviews_rating,reviews_total,old_money,new_money
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
Por Eletro2U ,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",4.8,(4903),3.999,3.299
Por Mercado Livre ,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",4.8,(159),2.999,2.629
Por Asus ,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746",4.9,(42),3.699,2.909
Por Mercado Livre ,Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,4.8,(607),4.372,2.999
,"Apple MacBook Air de 13"" Estelar Chip M2 da Apple com CPU de 8 núcleos GPU de 8 núcleos e Neural Engine de 16 núcleos Memória unificada de 16 GB SSD de 256 GB",,,7.199,692
Por Eshop ,"Notebook Vaio Fe15 Intel I5 1235u 8gb 512gb Ssd Linux 15,6''",5.0,(2),4.990,3.079
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1182),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
Por INFO OUTLET ,Notebook I5 10gen Ssd 256gb 32gb Tela Touch Fhd Hdmi Usb-c N,5.0,(3),3.999,2.879
Por Asus ,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,4.7,(31),5.699,4.514
,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",4.8,(5911),2.519,242
Por Eshop ,"Notebook Acer Aspire 3 I3 N305 8gb 256gb Ssd Linux 15,6''",5.0,(1),3.237,2.527
Por MXT ,"Notebook Asus Vivobook Go E1504GA Intel Core I3 N305 4Gb Ram 256Gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj447 (Novo com caixa aberta)",,,2.646,2.249
Por Miranda ,"Notebook Ultra, Linux, 15,6 Pol. HD, Intel Celeron, 240GB SSD/ 8GB RAM, Cinza Escovado - UB262",4.6,(254),1.562,150
,"MacBook Air M2 (2022) 13.6"" midnight 8GB de Ram - 256GB SSD - Apple M",4.9,(400),6.799,323
,Para Notebook Celeron N4020 Dual 3 Ultrafino 11 Pro Hd,,,1.198,66
,"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",4.5,(30),3.980,3.781
Por Mercado Livre ,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1739",4.7,(14),2.899,2.706
